gi4_mariadb
date,stream,content
2026/05/05 10:51:57,stderr,"2026-05-05 10:51:57 0 [Note] Event Scheduler: Killing the scheduler thread, thread id 1
"
2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3636 [Note] Event Scheduler: [root@%].[GI4.ev_kill_long_running_sp] event execution failed.

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3636 [Note] Event Scheduler: [root@%][GI4.ev_kill_long_running_sp] At line 49 in GI4.ev_kill_long_running_sp

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3636 [Note] Event Scheduler: [root@%][GI4.ev_kill_long_running_sp] At line 7 in GI4.sp_axlogsetwarning

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3636 [ERROR] Event Scheduler: [root@%][GI4.ev_kill_long_running_sp] Server shutdown in progress

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] mariadbd (initiated by: unknown): Normal shutdown

2026/05/05 06:44:49,stderr,Version: '11.8.2-MariaDB-ubu2404-log'  socket: '/run/mysqld/mysqld.sock'  port: 3306  mariadb.org binary distribution

2026/05/05 06:44:49,stderr,2026-05-05  6:44:49 0 [Note] mariadbd: ready for connections.

2026/05/05 06:44:49,stderr,2026-05-05  6:44:49 1 [Note] Event Scheduler: scheduler thread started with id 1

2026/05/05 06:44:49,stderr,2026-05-05  6:44:49 0 [Note] mariadbd: Event Scheduler: Loaded 7 events

2026/05/05 06:44:49,stderr,2026-05-05  6:44:49 0 [Note] Server socket created on IP: '::'.

2026/05/05 06:44:49,stderr,2026-05-05  6:44:49 0 [Note] Server socket created on IP: '0.0.0.0'.

2026/05/05 06:44:44,stderr,2026-05-05  6:44:44 0 [Note] InnoDB: Buffer pool(s) load completed at 260505  6:44:44

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] Plugin 'wsrep-provider' is disabled.

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] Plugin 'FEEDBACK' is disabled.

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: log sequence number 13444292746; transaction id 19948763

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: 128 rollback segments in 3 undo tablespaces are active.

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Opened 3 undo tablespaces

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: End of log at LSN=13444292746

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Completed initialization of buffer pool

2026/05/05 06:44:40,stderr,"2026-05-05  6:44:40 0 [Note] InnoDB: innodb_buffer_pool_size_max=4096m, innodb_buffer_pool_size=4096m
"
2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Warning] InnoDB: liburing disabled: falling back to innodb_use_native_aio=OFF

2026/05/05 06:44:40,stderr,"2026-05-05  6:44:40 0 [Warning] mariadbd: io_uring_queue_init() failed with ENOMEM: try larger memory locked limit, ulimit -l, or https://mariadb.com/kb/en/systemd/#configuring-limitmemlock under systemd (262144 bytes required)
"
2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] mariadbd: O_TMPFILE is not supported on /tmp (disabling future attempts)

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Number of transaction pools: 1

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] InnoDB: Compressed tables use zlib 1.3

2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Warning] --innodb-flush-method is deprecated and will be removed in a future release

