gi4_nodered_1881
date,stream,content
"
2026/05/05 06:43:28,stdout,{

2026/05/05 06:43:28,stdout,5 May 06:43:28 - [info] [debug:SqlErr] 

2026/05/04 16:00:46,stdout,4 May 16:00:46 - [info] Started flows

2026/05/04 16:00:46,stdout,4 May 16:00:46 - [info] Starting flows

2026/05/04 16:00:46,stdout,4 May 16:00:46 - [info] Updated flows

2026/05/04 16:00:46,stdout,4 May 16:00:46 - [info] Stopped flows

2026/05/04 16:00:46,stdout,4 May 16:00:46 - [info] Stopping flows

2026/05/04 15:59:20,stdout,4 May 15:59:20 - [info] Started flows

2026/05/04 15:59:20,stdout,4 May 15:59:20 - [info] Starting flows

2026/05/04 15:59:20,stdout,4 May 15:59:20 - [info] Updated flows

2026/05/04 15:59:20,stdout,4 May 15:59:20 - [info] Stopped flows

2026/05/04 15:59:20,stdout,4 May 15:59:20 - [info] Stopping flows

2026/05/04 14:46:34,stdout,4 May 14:46:34 - [error] [function:ms_OEEtasks] dbErrorEnd - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/04 14:46:03,stdout,4 May 14:46:03 - [error] [function:ms_OEEtasks] dbError - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/04 14:46:03,stdout,4 May 14:46:03 - [error] [function:ms_OEEtasks] dbErrorInit - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/04 14:46:03,stderr,"TBaseMacchinaStatiDB: QueryRetry raggiunto queryW.retryMax: {\"uuid\":null,\"query\":\"SELECT fe_LotMachineMinuteInStatusProd('c05dcd762e4b4b5a99224c48445d7683', '2026-05-04 00:00:00.000000', '2026-05-04 14:46:02.922933', -1) AS MINUTI\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Error: connect ECONNREFUSED 172.19.0.9:3306\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/04 14:46:03,stderr,"TBaseMacchinaStatiDB: QueryError0: {\"uuid\":null,\"query\":\"SELECT fe_LotMachineMinuteInStatusProd('c05dcd762e4b4b5a99224c48445d7683', '2026-05-04 00:00:00.000000', '2026-05-04 14:46:02.922933', -1) AS MINUTI\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Error: connect ECONNREFUSED 172.19.0.9:3306\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/04 14:46:03,stdout,4 May 14:46:03 - [error] [function:ms_OEEtasks] QueryError - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/04 14:46:03,stdout,}

2026/05/04 14:46:03,stdout,  }

2026/05/04 14:46:03,stdout,      '    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1611:16)'

2026/05/04 14:46:03,stdout,    stack: 'Error: connect ECONNREFUSED 172.19.0.9:3306\n' +

2026/05/04 14:46:03,stdout,"    code: 'ECONNREFUSED',
"
2026/05/04 14:46:03,stdout,"    },
"
2026/05/04 14:46:03,stdout,      count: 1

2026/05/04 14:46:03,stdout,"      name: 'DBmain:QueriesExec',
"
2026/05/04 14:46:03,stdout,"      type: 'mysql',
"
2026/05/04 14:46:03,stdout,"      id: '4c3b740d5ae93b7e',
"
2026/05/04 14:46:03,stdout,    source: {

2026/05/04 14:46:03,stdout,"    message: 'Error: connect ECONNREFUSED 172.19.0.9:3306',
"
2026/05/04 14:46:03,stdout,  error: {

2026/05/04 14:46:03,stdout,"  _msgid: 'e36bdfb70bd0a76d',
"
2026/05/04 14:46:03,stdout,"  queryUrl: 'ms_OEEtasks.queryW',
